hindi,phon
अढ़ाई,
अणु,a n u
अत एव,a t e v
अतर,a t a r
अति,a t i
अति-,a t i 
अतिथि,a t i th i
अतिरिक्त,a t i r i k t a
अतीव,a t ii v
अत्यंत,a t y a n t
अत्यधिक,a t y a dh i k
अत्याचार,a t y aa c aa r
अत्याचारी,a t y aa c aa r ii
अत्यावश्यक,a t y aa v a sh y a k
अत्युत्तम,a t y u t t a m
अथक,a th a k
अथवा,a th v aa
अथाह,a th aa h
अदरक,a d r a k
अदल-बदल,a d a l b a d a l
अदा,a d aa
अदालत,a d aa l a t
अदालती,a d aa l t ii
अदावत,a d aa v a t
अध-,a dh 
अधिक,a dh i k
अधिकतम,a dh i k t a m
अधिकतर,a dh i k t a r
अधिकता,a dh i k t aa
अधिकार,a dh i k aa r
अधिकारी,a dh i k aa r ii
अधिकृत,a dh i k r i t
अधिवेशन,a dh i v e sh a n
अधीक्षक,a dh ii k sh a k
अधीन,a dh ii n
अधीनता,a dh ii n t aa
अधीर,a dh ii r
अधीरता,a dh ii r t aa
अधूरा,a dh uu r aa
अधेड़,a dh e rr
अध्यक्ष,a dh y a k sh a
अध्यक्षता,a dh y a k sh a t aa
अध्ययन,a dh y a y a n
अध्यापक,a dh y aa p a k
अध्याय,a dh y aa y
अनंत,a n a n t
अन-,u n 
अनगढ़,a n g a rrh
अनगिनत,a n g i n a t
अनजान,a n j aa n
अनजाने,a n j aa n e
अनदेखा,a n d e kh aa
अनदेखी,a n d e kh ii
अनपढ़,a n p a rrh
अनबन,a n b a n
अनब्याहा,a n b y aa h aa
अनमना,a n m a n aa
अनर्थ,a n a r th
अनशन,a n a sh a n
अनसुना,a n s u n aa
अनहोनी,a n h o n ii
अनाचार,a n aa c aa r
अनाज,a n aa j
अनाड़ी,a n aa rr ii
अनाथ,a n aa th
अनाथालय,a n aa th aa l a y
अनादर,a n aa d a r
अनाप-शनाप,a n aa p sh a n aa p
अनाम,a n aa m
अनार,a n aa r
अनावश्यक,a n aa v a sh y a k
अनिच्छा,a n i c ch aa
अनिद्रा,a n i d r aa
अनियंत्रित,a n i y a n t r i t
अनियमित,a n i y a m i t
अनियमितता,a n i y a m i t t aa
अनिवार्य,a n i v aa r y a
अनिश्चित,a n i sh c i t
अनिश्चितता,a n i sh c i t t aa
अनु-,a n u 
अनुकरण,a n u k a r a n
अनुकूल,a n u k uu l
अनुगृहीत,a n u g r i h ii t
अनुचित,a n u c i t
अनुदान,a n u d aa n
अनुनय,a n u n a y
अनुपजाऊ,a n u p j O
अनुपयोगी,a n u p y o g ii
अनुपस्थित,a n u p a s th i t
अनुपस्थिति,a n u p a s th i t i
अनुपात,a n u p aa t
अनुभव,a n u bh a v
अनुभवी,a n u bh a v ii
अनुमति,a n u m a t i
अनुमान,a n u m aa n
अनुयायी,a n u y aa y ii
अनुराग,a n u r aa g
अनुरूप,a n u r uu p
अनुरोध,a n u r o dh
अनुवाद,a n u v aa d
अनुशासन,a n u sh aa s a n
अनुसरण,a n u s a r a n
अनुसार,a n u s aa r
अनूठा,a n uu tth aa
अनेक,a n e k
अनेकता,a n e k t aa
अनेकानेक,a n e k aa n e k
अनोखा,a n o kh aa
अनौपचारिक,a n O p c aa r i k
अन्न,a n n a
अन्न-जल,a n n a j a l
अन्य,a n y a
अन्यथा,a n y a th aa
अन्याय,a n y aa y
अन्यायपूर्ण,a n y aa y p uu r n a
अन्यायी,a n y aa y ii
अप-,a p 
अपकार,a p k aa r
अपकीर्ति,a p k ii r t i
अपक्व,a p a k v a
अप-टू-डेट,a p tt uu dd e tt
अपना,a p n aa
अपनाना,a p n aa n aa
अपमान,a p m aa n
अपमानजनक,a p m aa n j a n a k
अपमानित,a p m aa n i t
अपयश,a p y a sh
अपराध,a p r aa dh
अपराधी,a p r aa dh ii
अपरिचित,a p a r i c i t
अपर्याप्त,a p a r y aa p t a
अपलक,a p a l a k
अपवाद,a p v aa d
अपवित्र,a p a v i t r a
अपव्यय,a p a v y a y
अपशकुन,a p sh a k u n
अपशब्द,a p sh a b d a
अपहरण,a p h a r a n
अपार,a p aa r
अपील,a p ii l
अपूर्ण,a p uu r n a
अपेक्षा,a p e k sh aa
अपेक्षाकृत,a p e k sh aa k r i t
अप्रकट,a p r a k a tt
अप्रकाशित,a p r a k aa sh i t
अप्रचलित,a p r a c a l i t
अप्रत्यक्ष,a p r a t y a k sh a
अप्रत्याशित,a p r a t y aa sh i t
अप्रशन्न,a p r a s a n n a
अप्रिय,a p r i y
अप्रैल,a p r aa i l
अफरना,a ph a r n aa
अफवाह,a f v aa h
अफसर,a f s a r
अफसोस,a f s o s
अफीम,a f ii m
अफीमची,a f ii m c ii
अब,a b
अबीर,a b ii r
अवे,a b e
अबोध,a b o dh
अभय,a bh a y
अभागा,a bh aa g aa
अभाव,a bh aa v
अभि-,a bh i 
अभिनंदन,a bh i n a n d a n
अभिनय,a bh i n a y
अभिनव,a bh i n a v
अभिनेता,a bh i n e t aa
अभिप्राय,a bh i p r aa y
अभिभावक,a bh i bh aa v a k
अभिभूत,a bh i bh uu t
अभिमान,a bh i m aa n
अभिमानी,a bh i m aa n ii
अभियोग,a bh i y o g
अभिरुचि,a bh i r u c i
अभिलाषा,a bh i l aa sh aa
अभिवादन,a bh i v aa d a n
अभिव्यक्त,a bh i v y a k t a
अभिव्यक्ति,a bh i v y a k t i
अभी,a bh ii
अभूतपूर्व,a bh uu t p uu r v a
अभ्यस्त,a bh y a s t a
अभ्यागत,a bh y aa g a t
अभ्यास,a bh y aa s
अमचूर,a m c uu r
अमन,a m a n
अमर,a m a r
अमरीकी,a m r ii k ii
अमरूद,a m r uu d
अमल,a m a l
अमानत,a m aa n a t
अमानती,a m aa n t ii
अमानी,a m aa n ii
अमान्य,a m aa n y a
अमावस,a m aa v a s
अमिट,a m i tt
अमीर,a m ii r
अमीरी,a m ii r ii
अमुक,a m u k
अमूल्य,a m uu l y a
अमृत,a m r i t
अमोघ,a m o gh
अम्ल,a m l a
अयोग्य,a y o g y a
अयोग्यता,a y o g y a t aa
अरंडी,a r a n dd ii
अरक,a r a q
अरथी,a r th ii
अरदली,a r d a l ii
अरब,a r a b
अरब,a r a b
अरबी,a r b ii
अरमान,a r m aa n
अरवी,a r v ii
अरसा,a r s aa
अरहर,a r h a r
अराजकता,a r aa j a k t aa
अरारोट,a r aa r o tt
अरुचि,a r u c i
अरुचिकर,a r u c i k a r
अरे,a r e
अरोगी,a r o g ii
अर्क,a r q
अर्ज,a r z
अर्ज,a r z
अर्जन,a r j a n
अर्जित,a r j i t
अर्जी,a r z ii
अर्थ,a r th a
अर्थपूर्ण,a r th p uu r n a
अर्थहीन,a r th h ii n
अर्थात,a r th aa t
अर्थी,a r th ii
अर्दली,a r d l ii
अर्द्ध,a r d dh 
अर्धकुशल,a r dh k u sh a l
अर्धवार्षिक,a r dh v aa r sh i k
अर्धविकसित,a r dh v i k a s i t
अर्धशिक्षित,a r dh sh i k sh i t
अर्धसरकारी,a r dh s a r k aa r ii
अर्धसाप्ताहिक,a r dh s aa p t aa h i k
अर्धांगिनी,a r dh aa ng g i n ii
अलंकार,a l a ~ k aa r
अलंकृत,a l a ~ k r i t
अलग,a l a g
अलग-अलग,a l a g a l a g
अलगाना,a l g aa n aa
अलगाव,a l g aa v
अलबता,a l b a t t aa
अलबम,a l b a m
अलमारी,a l m aa r ii
अलमूनियम,a l m uu n i y a m
अलसाना,a l s aa n aa
अलहदा,a l a h d aa
अलापना,a l aa p n aa
अलार्म,a l aa r m
अलावा,a l aa v aa
अलिखित,a l i kh i t
अलोना,a l o n aa
अल्टीमेटम,a l tt ii m e tt a m
अल्प,a l p a
अल्पावस्था,a l p aa v a s th aa
अल्पाहार,a l p aa h aa r
अल्लाह,a l l aa h
अल्हड़,a l h a rr
अवकाश,a v k aa sh
अवगत,a v g a t
अवगुण,a v g u n
अवतार,a v t aa r
अवधि,a v a dh i
अवनति,a v n a t i
अवयस्क,a v a y a s k a
अवर,a v a r
अवरुद्ध,a v r u d dh
अवरोध,a v r o dh
अवलंब,a v l a m b
अवशेष,a v sh e sh
अवश्य,a v a sh y a
अवसर,a v s a r
अवस्था,a v a s th aa
अवांछित,a v aa n ch i t
अवाक्,a v aa k
अविकसित,a v i k s i t
अविचल,a v i c a l
अविच्छिन्न,a v i c ch i n n a
अविनीत,a v i n ii t
अविलंब,a v i l a m b a
अविवाहित,a v i v aa h i t
अविश्वासनीय,a v i sh v a s n ii y
अविश्वास,a v i sh v aa s
अविस्मरणीय,a v i s m a r n ii y
अवैतनिक,a v E t n i k
अवैध,a v E dh
अव्यवस्था,a v y a v a s th aa
अव्यवस्थित,a v y a v a s th i t
अव्यावहारिक,a v y aa v a h aa r i k
अव्वल,a v v a l
अशरफी,a sh a r f ii
अशांत,a sh aa n t
अशांति,a sh aa n t i
अशिक्षित,a sh i k sh i t
अशिष्ट,a sh i sh tt a
अशिष्टता,a sh i sh tt a t aa
अशुद्ध,a sh u d dh a
अशुद्धि,a sh u d dh i
अशुभ,a sh u bh
अश्रु,a sh r u
अश्लील,a sh l ii l
अष्ट-,a sh tt
अष्टम,a sh tt a m
अष्टमी,a sh tt a m ii
असंख्य,a s a ~ kh y a
असंगत,a s a ng g a t
असंगति,a s a ng g a t i
असंतुष्ट,a s a n t u sh tt a
असंतोष,a s a n t o sh
असंतोषजनक,a s a n t o sh j a n a k
असंभव,a s a m bh a v
असत्य,a s a t y a
असफल,a s a ph a l
असफलता,a s a ph a l t aa
असबाब,a s b aa b
असभ्य,a s a bh y a
असभ्यता,a s a bh y a t aa
असमय,a s a m a y
असमर्थ,a s a m a r th a
असमर्थता,a s a m a r th a t aa
असमान,a s a m aa n
असमानता,a s a m aa n t aa
असमाप्त,a s a m aa p t
असर,a s a r
असल,a s a l
असलियत,a s l i y a t
असली,a s l ii
असहमत,a s a h m a t
असहमति,a s a h m a t i
असहयोग,a s a h y o g
असहाय,a s a h aa y
असह्य,a s a h y a
असाढ़,a s aa rrh
असाधारण,a s aa dh aa r a n
असाध्य,a s aa dh y a
असामयिक,a s aa m a y i k
असामान्य,a s aa m aa n y a
असावधान,a s aa v dh aa n
असावधानता,a s aa v dh aa n t aa
असिस्टेंट,a s i s t e n t
असीम,a s ii m
असीस,a s ii s
असुंदर,a s u n d a r
असुविधा,a s u v i dh aa
असुविधाजनक,a s u v i dh aa j a n a k
असेंबली,a s e m b l ii
असैनिक,a s E n i k
अस्त,a s t
अस्ताबल,a s t a b a l
अस्तर,a s t a r
अस्तव्यस्त,a s t a v y a s t a
अस्तित्व,a s t i t v a
अस्त्र,a s t r a
अस्त्र-शस्त्र,a s t r a sh a s t r a
अस्थायी,a s th aa y ii
अस्थि,a s th i
अस्थिर,a s th i r
अस्थिरता,a s th i r t aa
अस्पताल,a s p a t aa l
अस्पताली,a s p a t aa l ii
अस्पष्ट,a s p a sh tt a
असपष्टता,a s p a sh tt a t aa
अस्वस्था,a s v a s th a
अस्वस्थता,a s v a s th a t aa
अस्वाभाविक,a s v aa bh aa v i k
अस्वीकार,a s v ii k aa r
अस्वीकृत,a s v ii k r i t
अस्वीकृति,a s v ii k r i t i
अस्सी,a s s ii
अहंकार,a h a ~ k aa r
अहम,a h a m
अहवाल,a h v aa l
अहह,a h a h
अहाता,a h aa t aa
अहिंदी,a h i n d ii
अहिंसक,a h i n s a k
अहिंसा,a h i n s aa
अहिंसात्मक,a h i n s aa t m a k
अहित,a h i t
अहितकर,a h i t k a r
अहो,a h o
अहोभाग्य,a h o bh aa g y a
आँचलिक,aa n c a l i k
आंतरिक,aa n tt r i k
आंदोलन,aa n d o l a n
आइंदा,aa i n d aa
आइस-क्रीम,aa i s k r ii m
आईना,E n aa
आउट,aa u tt
आकर्षक,aa k a r sh a k
आकर्षण,aa k a r sh a n
आकस्मिक,aa k a s m i k
आकांक्षा,aa k aa ~ k sh aa
आकार,aa k aa r
आकाश,aa k aa sh
आकाशी,aa k aa sh ii
आकृति,aa k r i t i
आकृष्ट,aa k r i sh tt
आक्रमण,aa k r a m a n
आक्रमणकारी,aa k r a m a n k aa r ii
आक्षेप,aa k sh e p
आक्सीजन,aa k s ii j a n
आखिर,aa x i r
आखिरी,aa x i r ii
आगंतुक,aa g a n t u k
आग,aa g
आगजनी,aa g z a n ii
आग-रोक,aa g r o k
आगा,aa g aa
आगामी,aa g aa m ii
आगाह,aa g aa h
आगे,aa g e
आगे-पीछे,aa g e p ii ch e
आग्रह,aa g r a h
आग्रहपूर्वक,aa g r a h p uu r v a k
आचरण,aa c a r a n
आचार,aa c aa r
आचारवान्,aa c aa r v aa n
आचार्य,aa c aa r y a
आज,aa j
आजकल,aa j k a l
आजमाइश,aa z m aa i sh
आजमाना,aa z m aa n aa
आजाद,aa z aa d
आजादी,aa z aa d ii
आजीवन,aa j ii v a n
आजीविका,aa j ii v i k aa
आटा,aa tt aa
आटोमैटिक,aa tt o m E tt i k
आठ,aa tth
आडंबर,aa dd a m b a r
आड़,aa rr
आड़ा,aa rr aa
आड़ू,aa rr uu
आतंक,aa t a ~ k
आतंकित,aa t a ~ k i t
आततायी,aa t a t aa y ii
आतश-,aa t a sh 
आतुर,aa t u r
आतुरता,aa t u r t aa
आत्म-,aa t m 
-आत्मक,aa t m a k
आत्मकथा,aa t m k a th aa
आत्मत्याग,aa t m t y aa g
आत्मनिंदा,aa t m n i n d aa
आत्मनिर्णय,aa t m n i r n a y
आत्मनिर्भर,aa t m n i r bh a r
आत्मनिर्भरता,aa t m n i r bh a r t aa
आत्मप्रशंसा,aa t m p r a sh a n s aa
आत्मबलिदान,aa t m b a l i d aa n
आत्मबोध,aa t m b o dh
आत्मरक्षा,aa t m r a k sh aa
आत्मविश्वास,aa t m v i sh v aa s
आत्मसंतोष,aa t m s a n t o sh
आत्मसमर्पण,aa t m s a m a r p a n
आत्मसम्मान,aa t m s a m m aa n
आत्महत्या,aa t m h a t y aa
आत्मा,aa t m aa
आत्माभिमान,aa t m aa bh i m aa n
आत्मिक,aa t m i k
आत्मीय,aa t m ii y
आत्मीयता,aa t m ii y a t aa
आत्मोद्धार,aa t m o d dh aa r
आदत,aa d a t
आदमियत,aa d m i y a t
आदमी,aa d m ii
आदर,aa d a r
आदरणीय,aa d a r n ii y
आदर्श,aa d a r sh
आदान-प्रदान,aa d aa n p r a d aa n
आदि,aa d i
आदी,aa d ii
आदेश,aa d e sh
आदेशानुसार,aa d e sh aa n u s aa r
आधा,aa dh
आध,aa dh aa
आधार,aa dh aa r
आधारभूत,aa dh aa r bh uu t
आधिक्य,aa dh i k y a
आधिपत्य,aa dh i p a t y a
आधुनिक,aa dh u n i k
आधुनिकता,aa dh u n i k t aa
आधुनिकतम,aa dh u n i k t a m
आधो-आध,aa dh o aa dh
आध्यात्मिक,aa dh y aa t m i k
आता जाता,aa t aa j aa t aa
आनंद,aa n a n d
आनंदमय,aa n a n d m a y
आन,aa n
आन,aa n
आन-बान,aa n b aa n
आनरेरी,aa n a r e r ii
आना,aa n aa
आना,aa n aa
आना-कानी,aa n aa k aa n ii
आना-जाना,aa n aa j aa n aa
आनी-जानी,aa n ii j a n ii
आनेवाला,aa n e v aa l aa
आया-गया,aa y aa g a y aa
आप,aa p
आप,aa p
आपत्ति,aa p a t t i
आपदा,aa p d aa
आपबीती,aa p b ii t ii
आपरेशन,aa p r e sh a n
आपस,aa p a s
आपसदारी,aa p a s d aa r ii
आपसी,aa p s ii
आपा,aa p aa
आपात,aa p aa t
आपाधापी,aa p aa dh aa p ii
आफत,aa f a t
आफिस,aa f i s
आब,aa b
आब,aa b
आबकारी,aa b k aa r ii
आब-दाना,aa b d aa n aa
आबरू,aa b r uu
आब-हवा,aa b h a v aa
आबाद,aa b aa d
आबादी,aa b aa d ii
आभार,aa bh aa r
आभारी,aa bh aa r ii
आभास,aa bh aa s
आभूषण,aa bh uu sh a n
आमंत्रण,aa m a n t r a n
आमंत्रित,aa m a n t r i t
आम,aa m
आम,aa m
आमदनी,aa m a d n ii
आमना-सामना,aa m n aa s aa m n aa
आमने-सामने,aa m n e s aa m n e
आमलेट,aa m l e tt
आमूल,aa m uu l
आय,aa y
आयकर,aa y k a r
आय-व्यय,aa y v y a y
आया,aa y aa
आया,aa y aa
आया-गया,aa y aa g a y aa
आयात,aa y aa t
आयात-कर,aa y aa t k a r
आयातकर्ता,aa y aa t k a r t aa
आयु,aa y u
आयुक्त,aa y u k t
आयोग,aa y o g
आयोजक,aa y o j a k
आयोजन,aa y o j a n
आयोजना,aa y o j n aa
आयोडीन,aa y o dd ii n
आरंभ,aa r a m bh
आरंभिक,aa r a m bh i k
आरकेस्ट्रा,aa r k e s tt r aa
आरक्षण,aa r a k sh a n
आरक्षित,aa r a k sh i t
आरती,aa r t ii
आर-पार,aa r p aa r
आरा,aa r aa
आराम,aa r aa m
आराम-कुर्सी,aa r aa m k u r s ii
आराम-घर,aa r aa m gh a r
आरामदेह,a r aa m d e h
आरी,aa r ii
आरोग्य,aa r o g y a
आरोप,aa r o p
आर्केस्ट्रा,
आर्ट,aa r tt
आर्टिस्ट,aa r tt i s tt
आर्डर,aa r dd a r
आर्थिक,aa r th i k
आर्मी,aa r m ii
आर्य,aa r y a
आलथी-पालथी,aa l th ii p aa l th ii
आलपिन,
आलमारी,
आलस,aa l a s
आलसी,aa l s ii
आलस्य,aa l a s y a
आलिंगन,aa l i ng g a n 
आलू,aa l uu
आलू-बुखारा,aa l uu b u x aa r aa
आलोचक,aa l o c a k
आलोचना,aa l o c n aa
आव-भगत,aa v bh a g a t
आवरण,aa v a r a n
आवश्यक,aa v a sh y a k
आवष्यकता,aa v a sh y a k t aa
आवश्यकतानुसार,aa v a sh y a k t aa n u s aa r
आवागमन,aa v aa g a m a n
आवाज,aa v aa z
आवाजाही,aa v aa j aa h ii
आवारा,aa v aa r aa
आवारागर्दी,aa v aa r aa g a r d ii
आवास,aa v aa s
आवाहन,aa v aa h a n
आविर्भाव,aa v i r bh aa v
आविष्कर्ता,aa v i sh k a r t aa
आविष्कार,aa v i sh k aa r
आविष्कारक,aa v i s k aa r a k
आवेदन,aa v e dd a n
आशंका,aa sh a ~ k aa
आशय,aa sh a y
आशा,aa sh aa
आशापूर्ण,aa sh aa p uu r n a
आशावान,aa sh aa v aa n
आशीर्वाद,a sh ii r v aa d
आश्चर्य,aa sh c a r y a
आश्चर्यचकित,aa sh c a r y a c a k i t
आश्चर्यजनक,aa sh c a r y a j a n a k
आश्रम,aa sh r a m
आश्रय,aa sh r a y
आश्रित,aa sh r i t
आश्वासन,aa sh v aa s a n
आषाढ़,aa sh a rrh
आस,aa s
आसन,aa s a n
आस-पास,aa s p aa s
आसमान,aa s m aa n
आसमानी,aa s m aa n ii
आसरा,aa s r aa
आसान,aa s aa n
आसानी,aa s aa n ii
आस्तिक,aa s t i k
आस्तीन,aa s t ii n
आस्था,aa s th aa
आस्थावान्,aa s th aa v aa n
आह,aa h
आहट,aa h a tt
आहत,aa h a t
आहा,aa h aa
आहार,aa h aa r
आहिस्ता,aa h i s t aa
आह्लाद,aa h l aa d
आह्लादित,aa h l aa d i t
आह्लान,aa h v aa n
इंगलिश,i ng g l i sh
इंगित,i ng g i t
इंच,i n c
इंचार्ज,i n c a r j
इंची,i n c ii
इंजन,i n j a n
इंजीनियर,i n j ii n i y a r
इंजीनियरिंग,i n j ii n i y a r i ng g
इंजेक्शन,i n j e k sh a n
इंटरनैशनल,i n tt a r n ii sh n a l
इंटरमीडियेट,i n tt a r m ii d i y e tt
इंटरव्यू,i n tt a r v y uu
इंट्रेंस,i n tt r e n s
इंडियन,i n dd i y a n
इंतजाम,i n t z aa m
इंतजार,i n t z aa r
इंद्र,i n d r a
इंद्रिय,i n d r i y
इंसान,i n s aa n
इंसानी,i n s aa n ii
इंसाफ,i n s aa f
इंस्पेक्टर,i n s p e k tt a r
इक-,i k 
इकट्ठ,i k a t th
इकट्ठा,i k a tt tth aa
इकतरफा,i k t a r f aa
इकतारा,i k t aa r aa
इकतालीस,i k t aa l ii s
इकतीस,i k a t ii s
इकरार,i k r aa r
इकरारनामा,i k r aa n aa m aa
इकलौता,i k l O t aa
इकसठ,i k s a tth
इकहत्तर,i k h a t t a r
इकहरा,i k a h r aa
इकाई,i k E
इकानवे,i k aa n v e
इकासी,i k aa s ii
इक्का,i k k aa
इक्कीस,i k k ii s
इक्यानवे,i k y aa n v e
इक्यावन,i k y aa v a n
इक्यासी,i k y aa s ii
इख्तियार,i x t i y aa r
इच्छा,i c ch aa
इच्छानुसार,i c ch aa n u s aa r
इच्छा-पत्र,i c ch aa p a t r a
इच्छाशक्ति,i c ch aa sh a k t i
इच्छित,i c ch i t
इच्छुक,i c ch u k
इजाजत,i j aa z a t
इजारबंद,i z aa r b a n d
इज्जत,i z z a t
इज्जतदार,i z z a t d aa r
इठलाना,i tth l aa n aa
इतना,i t n aa
इतने,i t n e
इतमीनान,i t m ii n aa n
इतराना,i t r aa n aa
इतवार,i t v aa r
इतिहास,i t i h aa s
इतिहासकार,i t i h aa s k aa r
इत्तफाक,i t t a f aa q
इत्तिला,i t t i l aa
इत्यादि,i t y aa d i
इत्र,i t r a
इत्रदान,i t r a d aa n
इधर,i dh a r
इधर-उधर,i dh a r u dh a r
इन,i n
इनकलाब,i n q a l aa b
इनकार,i n k aa r
इनचार्ज,
इनाम,i n aa m
इने-गिने,i n e g i n e
इन्कार,
इन्सान,i n s aa n
इन्सानी,i n s aa n ii
इन्सानियत,i n s aa n i y a t
इमदाद,i m d aa d
इमदादी,i m d aa d ii
इमरती,i m a r t ii
इमला,i m l aa
इमली,i m l ii
इमारत,i m aa r a t
इमारती,i m aa r t ii
इम्तहान,i m t a h aa n
इरादा,i r aa d aa
इर्द-गिर्द,i r d g i r d
इलजाम,i l z aa m
इलाका,i l aa q aa
इलाज,i l aa j
इलायची,i l aa y c ii
इशारा,i sh aa r aa
इश्क,i sh q
इश्तहार,i sh t a h aa r
इस,i s
इसी,i s ii
इसे,i s e
इस्तरी,i s t a r ii
इस्तीफा,i s t ii f aa
इस्तेमाल,i s t e m aa l
इस्पात,i s p aa t
इस्लाम,i s l aa m
इस्लामी,i s l aa m ii
ईख,ii kh
ईजाद,ii j aa d
ईद,ii d
ईमान,ii m aa n
ईमानदार,ii m aa n d aa r
ईमानदारी,ii m aa n d aa r ii
ईर्ष्या,ii r sh y aa
ईश्वर,ii sh v a r
ईसवी,ii s v ii
ईसा,ii s aa
ईसाई,ii s E
उँगली,u ~ g l ii
उँडेलना,u ~ dd e l n aa
उऋण,u rr i n
उकताना,u k t aa n aa
उकताहट,u k t aa h a tt
उकसाना,u k s aa n aa
उकसावा,u k s aa v aa
उक्ति,u k t i
उखड़ना,u kh a rr n aa
उखड़वाना,u kh a rr v aa n aa
उखड़ा-पुखड़ा,u kh rr aa p u kh r aa
उखाड़ना,u kh aa rr n aa
उखाड़-पछाड़,u kh aa rr p a ch aa rr
उगना,u g n aa
उगलना,u g a l n aa
उगाना,u g aa n aa
उगलदान,u g a l d aa n
उगाहना,u g aa h n aa
उगाही,u g aa h ii
उग्र,u g r a
उघाड़ना,u gh aa rr n aa
उचकना,u c a k n aa
उचक्का,u c a k k aa
उचटना,u c a tt n aa
उचाट,u c aa tt
उचित,u c i t
उच्च,u c c a
उच्चतर,u c c a t a r
उच्चता,u c c a t aa
उच्चारण,u c c aa r a n
उछल-कूद,u ch a l k uu d
उछलना,u ch a l n aa
उछाल,u ch aa l
उछालना,u ch aa l n aa
उजड़ना,u j a rr n aa
